PicklesName,SpecType,g-g,g-r,i-i,i-z,r-i,r-r,u-g,u-u,z-z
pickles_uk_1,O5V,0.0,-0.5903684867951089,0.0,-0.3422372766358919,-0.37691007412085753,0.0,-0.47317658266923424,0.0,0.0
pickles_uk_2,O9V,0.0,-0.5899513515005985,0.0,-0.35957215006327736,-0.3536074017242292,0.0,-0.3986875433461048,0.0,0.0
pickles_uk_3,B0V,0.0,-0.5581832774624562,0.0,-0.31723925255089824,-0.3474789004270402,0.0,-0.32945433555140724,0.0,0.0
pickles_uk_4,B1V,0.0,-0.4599570592656068,0.0,-0.25184051734239077,-0.33074974575050575,0.0,-0.2037246881672541,0.0,0.0
pickles_uk_5,B3V,0.0,-0.43305875166841545,0.0,-0.2532127122252916,-0.2608798461466151,0.0,0.10088145646832025,0.0,0.0
pickles_uk_6,B5-7V,0.0,-0.3670055137970678,0.0,-0.22048539615032503,-0.228509855811998,0.0,0.42682366912425707,0.0,0.0
pickles_uk_7,B8V,0.0,-0.30766327425171447,0.0,-0.16362168280442724,-0.23611718019936134,0.0,0.6625107040992848,0.0,0.0
pickles_uk_9,A0V,0.0,-0.23152142037413803,0.0,-0.1646540910914691,-0.18340387032357341,0.0,1.0042757208871809,0.0,0.0
pickles_uk_10,A2V,0.0,-0.20422680783642377,0.0,-0.14309459578281647,-0.16850011917117058,0.0,1.0718900164665435,0.0,0.0
pickles_uk_11,A3V,0.0,-0.1339110836314763,0.0,-0.1460049699039896,-0.1481738054136521,0.0,1.0675700704510227,0.0,0.0
pickles_uk_12,A5V,0.0,-0.0829340974549364,0.0,-0.0948148680645069,-0.10882492828251067,0.0,1.1188053557045308,0.0,0.0
pickles_uk_14,F0V,0.0,0.11307226195452103,0.0,-0.08885122128471146,-0.011636800955788118,0.0,1.0882867482135818,0.0,0.0
pickles_uk_15,F2V,0.0,0.1990208168573897,0.0,-0.012663261587613661,0.02681238149865628,0.0,1.052726124110995,0.0,0.0
pickles_uk_16,F5V,0.0,0.26810760076893736,0.0,-0.012530296949364583,0.030444231379833653,0.0,1.0248823352876428,0.0,0.0
pickles_uk_20,F8V,0.0,0.368125350233484,0.0,0.037793696478543026,0.09060020686190917,0.0,1.15453429414198,0.0,0.0
pickles_uk_23,G0V,0.0,0.38588066566346946,0.0,0.025172589861028882,0.1369122853700233,0.0,1.2333970322353487,0.0,0.0
pickles_uk_26,G2V,0.0,0.45741607396125517,0.0,0.047967186752515545,0.1505562444457631,0.0,1.307743333317644,0.0,0.0
pickles_uk_27,G5V,0.0,0.49134891683376836,0.0,0.061734356879027175,0.1591961819492571,0.0,1.4341540925881002,0.0,0.0
pickles_uk_30,G8V,0.0,0.575691164725324,0.0,0.05976051180557285,0.1855736377096946,0.0,1.5417602000825639,0.0,0.0
pickles_uk_31,K0V,0.0,0.6216511183846727,0.0,0.07285510343155188,0.2121088440697374,0.0,1.6234854586733931,0.0,0.0
pickles_uk_33,K2V,0.0,0.7775641497918997,0.0,0.11271699943038271,0.23498249920320546,0.0,1.8975390790792481,0.0,0.0
pickles_uk_36,K5V,0.0,1.1823170386884136,0.0,0.20335478930640072,0.39672774974908087,0.0,2.48989256082168,0.0,0.0
pickles_uk_37,K7V,0.0,1.3395925419733725,0.0,0.30076691252194543,0.532046868813552,0.0,2.511413146846861,0.0,0.0
pickles_uk_38,M0V,0.0,1.3126628118702524,0.0,0.384474658154522,0.6326907615998287,0.0,2.603671962038394,0.0,0.0
pickles_uk_40,M2V,0.0,1.4262248935996862,0.0,0.5231610534526361,0.8459522664565995,0.0,2.542551376905543,0.0,0.0
pickles_uk_43,M4V,0.0,1.4750885639686917,0.0,0.7636475782194783,1.5044055457150112,0.0,3.0861746672131147,0.0,0.0
pickles_uk_44,M5V,0.0,1.5805439087791395,0.0,0.9327658041168423,1.725461405723923,0.0,3.0164295998480757,0.0,0.0
