PicklesName,SpecType,g-r,g_s-g,i-z,i_s-i,r-i,r_s-r,u-g,u_s-u,z_s-z
pickles_uk_1,O5V,-0.5903684867951089,0.013053930124899082,-0.3422372766358919,0.0380410527338686,-0.37691007412085753,0.019438909110217395,-0.47317658266923424,0.03181945130806696,0.020948418820076142
pickles_uk_2,O9V,-0.5899513515005985,0.014744624167262188,-0.35957215006327736,0.03598378225134624,-0.3536074017242292,0.019100980261654854,-0.3986875433461048,0.020510855489995095,0.02577826015327922
pickles_uk_3,B0V,-0.5581832774624562,0.011045362825612415,-0.31723925255089824,0.034547546527752715,-0.3474789004270402,0.018337576571864744,-0.32945433555140724,0.028716637816193824,0.01874954612278401
pickles_uk_4,B1V,-0.4599570592656068,0.007861967804005943,-0.25184051734239077,0.029884709636611717,-0.33074974575050575,0.01694372121274057,-0.2037246881672541,0.025593262082782786,0.019710074703297664
pickles_uk_5,B3V,-0.43305875166841545,0.007980877685291432,-0.2532127122252916,0.024685481319570712,-0.2608798461466151,0.015252374062271201,0.10088145646832025,0.0071278875655096385,0.017727406959782144
pickles_uk_6,B5-7V,-0.3670055137970678,0.004162451964681679,-0.22048539615032503,0.021861711941694395,-0.228509855811998,0.012702566775059765,0.42682366912425707,-0.009867651952255585,0.010011647561182002
pickles_uk_7,B8V,-0.30766327425171447,0.003471000998180429,-0.16362168280442724,0.02127535533472269,-0.23611718019936134,0.012625752524128231,0.6625107040992848,-0.01958224066405201,-0.0032936035282808973
pickles_uk_9,A0V,-0.23152142037413803,-0.0037037423818730986,-0.1646540910914691,0.020710266949487632,-0.18340387032357341,0.009065851206377928,1.0042757208871809,-0.03598680024361833,-0.016363632102553538
pickles_uk_10,A2V,-0.20422680783642377,-0.0044867086382680554,-0.14309459578281647,0.017628340069705928,-0.16850011917117058,0.007853783873601472,1.0718900164665435,-0.03741113880488989,-0.009142379868970707
pickles_uk_11,A3V,-0.1339110836314763,-0.006341852382977464,-0.1460049699039896,0.016684810872629185,-0.1481738054136521,0.005768347723483558,1.0675700704510227,-0.036543096038229805,-0.004976798272675609
pickles_uk_12,A5V,-0.0829340974549364,-0.007922111963155842,-0.0948148680645069,0.014917868715702554,-0.10882492828251067,0.004177016357843399,1.1188053557045308,-0.05297235350655605,-0.02934712566639952
pickles_uk_14,F0V,0.11307226195452103,-0.010767746653398191,-0.08885122128471146,0.006544175327066526,-0.011636800955788118,-0.0016920856651072569,1.0882867482135818,-0.0458426976342885,-0.028866658741423024
pickles_uk_15,F2V,0.1990208168573897,-0.012441683387940827,-0.012663261587613661,-0.0002910490650052111,0.02681238149865628,-0.002591057448499967,1.052726124110995,-0.06110882812748031,-0.029679347463442696
pickles_uk_16,F5V,0.26810760076893736,-0.014886974138461184,-0.012530296949364583,-0.0021437212813761874,0.030444231379833653,-0.0027090013094053234,1.0248823352876428,-0.0574822728146831,-0.03995121252224543
pickles_uk_20,F8V,0.368125350233484,-0.017660506486137706,0.037793696478543026,-0.005882835570261591,0.09060020686190917,-0.0077694438491668905,1.15453429414198,-0.07138731770101892,-0.05040611921177174
pickles_uk_23,G0V,0.38588066566346946,-0.018703433728694208,0.025172589861028882,-0.006893305727999177,0.1369122853700233,-0.010336674541319368,1.2333970322353487,-0.0808679433813797,-0.045427853138983565
pickles_uk_26,G2V,0.45741607396125517,-0.021252100185620293,0.047967186752515545,-0.00777478591844627,0.1505562444457631,-0.010598802506873284,1.307743333317644,-0.0772807020597881,-0.06277931764762634
pickles_uk_27,G5V,0.49134891683376836,-0.02297365697318554,0.061734356879027175,-0.00941232330088404,0.1591961819492571,-0.011465059187361959,1.4341540925881002,-0.09163566736274831,-0.06071922893924331
pickles_uk_30,G8V,0.575691164725324,-0.02533064327211143,0.05976051180557285,-0.010465845072181068,0.1855736377096946,-0.014874923058046718,1.5417602000825639,-0.06534105321158279,-0.06110811263242155
pickles_uk_31,K0V,0.6216511183846727,-0.02574738298195456,0.07285510343155188,-0.00970144983631549,0.2121088440697374,-0.01670722370845823,1.6234854586733931,-0.08760307205846729,-0.07071508087340206
pickles_uk_33,K2V,0.7775641497918997,-0.0324967049460394,0.11271699943038271,-0.015708330554527805,0.23498249920320546,-0.019155325160138403,1.8975390790792481,-0.08177693113411522,-0.0834278558605348
pickles_uk_36,K5V,1.1823170386884136,-0.052049291425417366,0.20335478930640072,-0.030572667206063997,0.39672774974908087,-0.0206566439259106,2.48989256082168,-0.09887024416815215,-0.10838082692890083
pickles_uk_37,K7V,1.3395925419733725,-0.07151523753906375,0.30076691252194543,-0.044707875597119084,0.532046868813552,-0.024523504834171206,2.511413146846861,-0.11389482629806658,-0.10602959264534739
pickles_uk_38,M0V,1.3126628118702524,-0.06588218216281483,0.384474658154522,-0.05268903770349098,0.6326907615998287,-0.032895868669411854,2.603671962038394,-0.10506634998001374,-0.14895873621755307
pickles_uk_40,M2V,1.4262248935996862,-0.08442585481930998,0.5231610534526361,-0.07285372299994464,0.8459522664565995,-0.028747722387224783,2.542551376905543,-0.13799653255099287,-0.16990650415088027
pickles_uk_43,M4V,1.4750885639686917,-0.10195326093715096,0.7636475782194783,-0.1152867559462063,1.5044055457150112,-0.04610481230565178,3.0861746672131147,-0.15055290148353606,-0.22119902009269943
pickles_uk_44,M5V,1.5805439087791395,-0.10799938480102789,0.9327658041168423,-0.14714346448677418,1.725461405723923,-0.043773416195973525,3.0164295998480757,-0.1337457341955215,-0.29771899882132224
