PicklesName,SpecType,Teff,g_s-g_s,g_s-r_s,i_s-i_s,i_s-z_s,r_s-i_s,r_s-r_s,u_s-g_s,u_s-u_s,z_s-z_s
pickles_uk_1,O5V,39810.7,0.010455548932686298,-0.5671073596653464,0.0036252861898518063,-0.31849954486871646,-0.418328061116755,-0.019190557182394485,-0.4542298333791077,0.01063677703964494,-0.003019811663531158
pickles_uk_2,O9V,35481.4,0.007732189261984601,-0.567681163883309,0.002418587987865095,-0.3441669790350801,-0.39180314615148326,-0.01889435444969756,-0.3913844975784855,0.009269003706871004,-0.0027810609422651567
pickles_uk_3,B0V,28183.8,0.009828585834261716,-0.5369680744631271,0.0020292041930556337,-0.2991403096844216,-0.38439690548730354,-0.01867883091131972,-0.33749442579672184,-0.015882779401634295,-0.00027173826845228177
pickles_uk_4,B1V,22387.2,0.007682832899302383,-0.4448216877320519,0.001167449299776635,-0.23738345062158217,-0.3613924755171407,-0.016534292042987175,-0.21403707660834215,-0.02036084982056252,-0.00311498248771791
pickles_uk_5,B3V,19054.6,0.006029626081941686,-0.41957307609497185,0.0011281162412934975,-0.2448003759420061,-0.2861686155136898,-0.014727545868481684,0.014876657545812577,-0.0791221827207842,-0.0003261456822034603
pickles_uk_6,B5-7V,14125.4,0.005217201354867029,-0.3575456133248469,0.0006338468968127842,-0.21408855765677615,-0.2510856618031774,-0.01278281392773195,0.2636509439427037,-0.14392541990974905,0.006087072783776293
pickles_uk_7,B8V,11749.0,0.004509961471375945,-0.29963580726455596,0.002116905521962309,-0.14824529748586102,-0.25955594557364847,-0.012672257041730361,0.4380286345371758,-0.19691886642850065,0.011309479066399675
pickles_uk_9,A0V,9549.93,0.0029585107898046914,-0.23122501104540838,0.0012497332526582028,-0.14789069163644974,-0.2064055114465173,-0.010107492127175988,0.7438697322335397,-0.22516442000209125,0.021560232849680006
pickles_uk_10,A2V,8912.51,0.0032099205572215794,-0.20434939980204092,0.0013833974619519296,-0.13104607956590364,-0.18866605281825777,-0.009007979989030801,0.7848823138658112,-0.25087335187688886,0.016105601183715734
pickles_uk_11,A3V,8790.23,0.0022231045109606384,-0.1366221287079057,0.0007754702875946151,-0.1392062618913812,-0.16704178936946334,-0.007176050519070998,0.7950249255923865,-0.24012079669242326,0.01563837142029101
pickles_uk_12,A5V,8491.8,0.0005267547847438436,-0.08816897662972245,0.00034014459287767806,-0.07998145839190762,-0.12624341959471685,-0.0063374943614693535,0.836654321906849,-0.23657403746953776,0.02977172930238048
pickles_uk_14,F0V,7211.08,-0.0030622019146626656,0.10038369311243045,-0.0005586196514535402,-0.08933258348508843,-0.018763736357371386,0.0005507059391369751,0.8929680423688424,-0.16330595677851178,0.03533357661741299
pickles_uk_15,F2V,6776.42,-0.005355884630505514,0.18186237267251393,0.00035036404592148074,-0.013133981042459553,0.026113942684169444,0.001951933614929402,0.8725772861516994,-0.13683757785026174,0.030209381899204857
pickles_uk_16,F5V,6531.31,-0.006802370577265293,0.2461402384789544,-0.0006528271797314744,-0.018486514600841275,0.03351879741519781,0.0029870188836618183,0.8857002258144178,-0.10338918137426845,0.04311088171261446
pickles_uk_20,F8V,6039.48,-0.00807708166523291,0.3432840857682695,3.678647349580899e-05,0.03346309967115069,0.09554993227251884,0.006873120163010782,1.0184060332835454,-0.09047853130878636,0.048890666922398296
pickles_uk_23,G0V,5807.64,-0.008780105971480268,0.3602042084625854,-0.0008232956392326685,0.01746569402850895,0.14282180423796476,0.008529592042028966,1.100244813804471,-0.07976781474967254,0.04541814760427165
pickles_uk_26,G2V,5636.38,-0.009709297582967125,0.4274844167629812,-0.001112674021412019,0.04253364619464506,0.15841396381530792,0.00956906193655982,1.1987845042983487,-0.06263952472809464,0.05932539826563854
pickles_uk_27,G5V,5584.7,-0.010915558243384638,0.4585500571251231,-0.0005321002015730159,0.05535334458536312,0.16805024994378925,0.010374703679437047,1.3122671126598053,-0.06414052778211676,0.05715581773045031
